Date Rptd,DATE OCC,TIME OCC,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,LOCATION,Cross Street,LAT,LON
6/6/2020 0:00,6/6/2020 0:00,2322,Southeast,1802,2,624,BATTERY - SIMPLE ASSAULT,21,F,H,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,BROADWAY,93RD                         ST,33.9519,-118.2784
3/27/2020 0:00,3/27/2020 0:00,125,Olympic,2029,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",31,M,B,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,230.0,WILSHIRE,SHATTO,34.0618,-118.2899
4/10/2020 0:00,4/10/2020 0:00,1825,Harbor,507,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",22,F,H,STREET,102.0,HAND GUN,IC,Invest Cont,230.0,226TH,HARVARD,33.8213,-118.3064
5/30/2020 0:00,5/30/2020 0:00,1600,Wilshire,723,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,0,M,X,STREET,212.0,BOTTLE,IC,Invest Cont,231.0,3RD                          ST,FAIRFAX                      AV,34.0719,-118.3614
1/1/2020 0:00,1/1/2020 0:00,250,Rampart,201,2,624,BATTERY - SIMPLE ASSAULT,40,M,H,MTA BUS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,VERMONT,SANTA MONICA,34.0909,-118.2917
3/4/2020 0:00,3/3/2020 0:00,1840,Central,185,1,210,ROBBERY,46,M,H,OTHER STORE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210.0,11TH,SANTEE                       ST,34.0378,-118.2561
10/6/2020 0:00,10/6/2020 0:00,200,77th Street,1239,1,210,ROBBERY,20,M,H,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,210.0,FLORENCE                     AV,FIGUEROA                     AV,33.9863,-118.2881
1/28/2020 0:00,1/28/2020 0:00,715,77th Street,1269,1,210,ROBBERY,27,M,B,ALLEY,109.0,SEMI-AUTOMATIC PISTOL,AO,Adult Other,210.0,74TH                         ST,MCKINLEY                     AV,33.9638,-118.2629
12/7/2020 0:00,12/7/2020 0:00,1200,77th Street,1239,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",40,M,B,STREET,215.0,MACHETE,IC,Invest Cont,230.0,VERMONT                      AV,59TH                         DR,33.9869,-118.2915
7/11/2020 0:00,7/11/2020 0:00,1245,Central,138,2,624,BATTERY - SIMPLE ASSAULT,50,F,B,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,6TH                          ST,GLADYS,34.0468,-118.2415
9/8/2020 0:00,9/8/2020 0:00,1900,Southwest,336,1,210,ROBBERY,19,X,X,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,WESTERN                      AV,JEFFERSON                    BL,34.0256,-118.3089
2/16/2020 0:00,2/16/2020 0:00,525,Harbor,507,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",37,M,H,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,230.0,HALLDALE                     AV,224TH                        ST,33.8234,-118.3015
9/27/2020 0:00,9/27/2020 0:00,2145,Rampart,218,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",53,M,W,PARK/PLAYGROUND,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230.0,GLENDALE,PARK,34.0759,-118.2615
5/26/2020 0:00,5/25/2020 0:00,2211,Southwest,395,1,210,ROBBERY,24,M,H,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,WESTERN                      AV,VERNON                       AV,34.0037,-118.3089
1/25/2020 0:00,1/25/2020 0:00,2245,West Valley,1006,1,210,ROBBERY,30,F,W,ALLEY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,210.0,WHITE OAK,SATICOY,34.2084,-118.5186
